section,item,requirement,status,manuscript_location_or_rationale
Title and abstract,1,"Title identifies study as LLM evaluation, task, target population, outcome",Addressed,§ Title
Title and abstract,2,Structured abstract,Addressed,§ Abstract (Background / Methods / Results / Conclusions)
Introduction,3a,Background and clinical-use-case rationale,Addressed,§ Introduction (rare-disease burden; phenotype-driven prioritisation; publication-curation lag; leakage/circularity; RAG and agentic systems)
Introduction,3b,Target population and intended use (incl.\ intended users),Addressed,§ Introduction + § Discussion § What each tool is for (decision support / triage)
Introduction,4,Study objectives (evaluation vs development),Addressed,§ Introduction (contributions 1-5) + Methods opening
Methods - Data,5a,"Data sources (training / tuning / evaluation, separately)",Addressed,Methods § Cohort + § Index construction
Methods - Data,5b,Data-point distribution and dataset descriptors,Addressed,Methods § Cohort + Results § Cohort setup
Methods - Data,5c,Date range of training and evaluation text,Addressed,Methods § Cohort (PMID 1988-2024) + § Index (PMC OA to 2026-05); pinned ontology versions
Methods - Data,5d,Preprocessing and quality checking,Addressed,Methods § Cohort (4-criterion filter) + § Index (512-token chunking; PubMedBERT tokeniser)
Methods - Data,5e,Missing / imbalanced data,Addressed,Methods § Cohort exclusions + Results § Ablation (JSON refusals) + § Explainability (LEA fallback 0.2%)
Methods - LLM (analytical and output),6a,"LLM name, version, last training date",Addressed,"Methods § Comparator systems, Cell S (Qwen3-8B; vLLM 0.20.1; ablation models + GPT-4o judge)"
Methods - LLM (analytical and output),6b,"LLM development process (architecture, training, alignment)",Not applicable,"Not applicable - evaluation study, no fine-tuning"
Methods - LLM (analytical and output),6c,"Prompt and inference settings (seed, temperature, etc.)",Addressed,Methods § Comparator systems + § Reproducibility
Methods - LLM (analytical and output),6d,Initial vs post-processed LLM output,Addressed,"Methods, Cell S (LEA JSON schema + tolerant parser + CE-rerank fallback)"
Methods - LLM (analytical and output),6e,Classification thresholds,Not applicable,"Not applicable - ranking task, not threshold classification"
Methods - LLM (analytical and output),7a,"Output quality metrics (consistency, accuracy, errors)",Addressed,Methods § Metrics + § RAG-quality + § Explainability
Methods - LLM (analytical and output),7b,Outcome metrics' deployment relevance + correlation to human eval,Addressed,Results § Explanation quality (faithfulness AUROC 0.74/0.73 for top-1 correctness); § Limitations item 4
Methods - LLM (analytical and output),7c,"Outcome definition, prediction code, inference dates",Addressed,Methods § Metrics + § Reproducibility
Methods - LLM (analytical and output),7d,Subjective assessor qualifications,Not applicable,"Not applicable - objective outcome (causal-gene rank), gold standard from Phenopacket Store"
Methods - LLM (analytical and output),7e,Performance comparison to other systems,Addressed,Results §§ 4.1-4.5 + § Discussion; Tables 1-4; Supplementary Tables S2-S7
Methods - Annotation,8,Annotation process,Not applicable,Not applicable - pre-curated Phenopacket Store cases; no annotation performed
Methods - Prompting,9a,Prompt design / curation / selection process,Addressed,Methods § Prompt design (single pass; no A/B; no exemplars; no chain-of-thought)
Methods - Prompting,9b,Data used to develop prompts,Addressed,Methods § Prompt design (no cohort or ablation case used to tune)
Methods - Other,10,Summarisation preprocessing,Not applicable,"Not applicable - ranking task, not summarisation"
Methods - Other,11,Instruction tuning / alignment,Not applicable,Not applicable - no fine-tuning
Methods - Other,12,Compute reporting,Addressed,Methods (compute paragraph) + Supplementary Table S11 (1x RTX 5090)
Methods - Other,13,Ethics approval / IRB,Addressed,"§ Declarations § Ethics - exemption granted by the Universidad Europea research ethics committee; the committee's signed letter is reproduced as Supplementary File 2, in an English version with the Spanish original annexed"
Methods - Open science,14a,Funding source,Addressed,"§ Funding (Santander Scholarship for Predoctoral Research 2025 to J.A., awarded by Santander Open Academy)"
Methods - Open science,14b,Conflicts of interest,Addressed,§ Competing interests (none)
Methods - Open science,14c,Study-protocol availability,Addressed,§ Availability (public repository + protocol documentation)
Methods - Open science,14d,Study registration,Addressed,§ Ethics (explicit no-registration statement)
Methods - Open science,14e,Data availability,Addressed,"§ Availability - Phenopacket Store v0.1.26, PMC OA; benchmark cohorts DOI 10.6084/m9.figshare.32814449 (standard) and 10.6084/m9.figshare.32816468 (hard) with Croissant 1.0+RAI; per-case sidecars in system item DOI 10.6084/m9.figshare.32814497"
Methods - Open science,14f,Code availability,Addressed,"§ Availability - github.com/Jangulo7/geno_agent (AGPL-3.0), archived on Figshare (system item DOI 10.6084/m9.figshare.32814497)"
Methods - Patient and public involvement,15,Patient and public involvement,Addressed,§ Ethics (explicit no-PPI statement)
Results,16a,Patient / text flow through study,Addressed,"Methods § Cohort (screening, eligibility and exclusion counts); the CONSORT-style flow diagram is Figure 1 of the companion data descriptor (P1)"
Results,16b,Patient characteristics,Addressed,Methods § Cohort + Results § Cohort setup
Results,16c,Distribution comparison (development vs evaluation),Not applicable,"Not applicable - evaluation-only study, no development split"
Results,16d,n per analysis,Addressed,"Results throughout (full 1,047; overlap-absent 282; recency 601/446; ablation 300; RAGAS 600; DeepEval 100)"
Results,17,Performance reporting,Addressed,Results §§ 4.1-4.6 + Tables 1-4; Supplementary Tables S2-S7
Results,18,LLM updating,Not applicable,Not applicable - no LLM updating performed
Discussion,19a,Interpretation of results,Addressed,§ Discussion § Principal findings + § Methodological contribution + § Recency
Discussion,19b,Limitations,Addressed,§ Discussion § Limitations (7 numbered items)
Discussion,19c,"Known data challenges (fairness, representation)",Addressed,§ Discussion § Generalisability
Discussion,19d,"Intended use, end-user, autonomy level",Addressed,"§ Discussion § What each tool is for (decision support, not autonomous)"
Discussion,19e,Handling of poor-quality input,Addressed,Methods § Comparator systems (tolerant parser; seeded no-signal fallback) + Results § Explanation quality (LEA fallback 0.2%)
Discussion,19f,User-interaction requirements / expertise,Addressed,§ Discussion § What each tool is for (workflow-dependent use; expert review of shortlists)
Discussion,19g,Future research directions,Addressed,§ Discussion § Future work (5 extensions)
